Date,State,Confirmed,Recovered,Deceased
2020-04-27,Maharashtra,29285,16547.0,27
2020-04-28,Maharashtra,30180,,27
2020-04-29,Maharashtra,30907,16791.0,27
2020-04-30,Maharashtra,31553,16816.0,27
2020-05-01,Maharashtra,31859,16864.0,27
2020-05-02,Maharashtra,32111,16875.0,27
2020-05-03,Maharashtra,32356,17106.0,37
2020-05-04,Maharashtra,33343,17245.0,37
2020-05-05,Maharashtra,33552,17354.0,37
2020-05-06,Maharashtra,34113,17850.0,37
2020-05-07,Maharashtra,34137,17869.0,37
2020-05-08,Maharashtra,34363,17969.0,37
2020-05-09,Maharashtra,35272,18844.0,37
2020-05-10,Maharashtra,35554,19112.0,37
2020-05-11,Maharashtra,35769,19319.0,37
2020-05-12,Maharashtra,36189,19690.0,37
2020-05-13,Maharashtra,36550,19933.0,37
2020-05-14,Maharashtra,36688,20038.0,37
2020-05-15,Maharashtra,37195,20194.0,37
2020-05-16,Maharashtra,38053,20763.0,37
2020-05-17,Maharashtra,38974,20898.0,37
2020-05-18,Maharashtra,39559,21184.0,37
2020-05-19,Maharashtra,39671,21252.0,37
2020-05-20,Maharashtra,40516,21620.0,37
2020-05-21,Maharashtra,40670,21656.0,37
2020-05-22,Maharashtra,41200,22175.0,37
2020-05-23,Maharashtra,42018,22231.0,37
2020-05-24,Maharashtra,42197,22402.0,37
2020-05-25,Maharashtra,42576,22588.0,37
2020-05-26,Maharashtra,42701,22684.0,37
2020-05-27,Maharashtra,42735,22709.0,37
2020-05-28,Maharashtra,42781,22714.0,37
2020-05-29,Maharashtra,42931,22849.0,37
2020-05-30,Maharashtra,43159,22904.0,37
2020-05-31,Maharashtra,43667,23170.0,37
2020-06-01,Maharashtra,43922,23355.0,37
2020-06-02,Maharashtra,44480,23392.0,37
2020-06-03,Maharashtra,44715,23557.0,37
2020-06-04,Maharashtra,44853,23640.0,37
2020-06-05,Maharashtra,44950,23664.0,37
2020-06-06,Maharashtra,45222,23864.0,37
2020-06-07,Maharashtra,45264,23893.0,39
2020-06-08,Maharashtra,45834,24331.0,39
2020-06-09,Maharashtra,46360,24676.0,39
2020-06-10,Maharashtra,46419,24723.0,39
2020-06-11,Maharashtra,46976,24936.0,39
2020-06-12,Maharashtra,47583,25031.0,39
2020-06-13,Maharashtra,47671,25046.0,39
2020-06-14,Maharashtra,47763,25124.0,39
2020-06-15,Maharashtra,48000,25279.0,39
2020-06-16,Maharashtra,48099,25289.0,39
2020-06-17,Maharashtra,48963,25725.0,39
2020-06-18,Maharashtra,49223,25923.0,39
2020-06-19,Maharashtra,49299,25963.0,39
2020-06-20,Maharashtra,49398,26022.0,39
2020-06-21,Maharashtra,49997,26321.0,39
2020-06-22,Maharashtra,unknown,26621.0,39
2020-06-23,Maharashtra,50914,26830.0,39
2020-06-24,Maharashtra,51735,27610.0,39
2020-06-25,Maharashtra,51773,27635.0,39
2020-06-26,Maharashtra,52306,27877.0,39
2020-06-27,Maharashtra,52778,28000.0,39
2020-06-28,,53256,28118.0,39
N/A,Maharashtra,54099,28283.0,39
2020-06-30,Maharashtra,54976,28623.0,39
2020-07-01,Maharashtra,unknown,28655.0,39
2020-07-02,Maharashtra,55482,28682.0,39
2020-07-03,Maharashtra,56081,28850.0,40
2020-07-04,Maharashtra,56220,28931.0,40
N/A,Maharashtra,56245,28932.0,40
2020-07-06,Maharashtra,56744,28952.0,40
2020-07-07,Maharashtra,57683,29641.0,40
2020-07-08,Maharashtra,58444,30282.0,40
2020-07-09,Maharashtra,58570,30339.0,40
2020-07-10,Maharashtra,59386,30744.0,-1
2020-07-11,Maharashtra,59713,30978.0,40
2020-07-12,Maharashtra,60238,31047.0,40
2020-07-13,Maharashtra,60627,31417.0,40
2020-07-14,Maharashtra,61180,31540.0,40
2020-07-15,Maharashtra,61748,31759.0,40
2020-07-16,Maharashtra,62104,32064.0,40
2020-07-17,Maharashtra,63075,,40
2020-07-18,Maharashtra,63346,32860.0,40
2020-07-19,Maharashtra,63965,33402.0,40
2020-07-20,Maharashtra,64172,33561.0,40
2020-07-21,Maharashtra,64329,33688.0,40
2020-07-22,Maharashtra,64415,33745.0,40
2020-07-23,Maharashtra,64694,33864.0,40
2020-07-24,Maharashtra,65520,34098.0,40
2020-07-25,Maharashtra,65645,34180.0,40
2020-07-26,Maharashtra,66336,34447.0,40
2020-07-27,Maharashtra,66529,34526.0,45
2020-07-28,Maharashtra,unknown,34613.0,45
2020-07-29,Maharashtra,68058,35331.0,45
2020-07-30,Maharashtra,68260,35350.0,45
2020-07-31,Maharashtra,69134,35744.0,45
2020-08-01,Maharashtra,70050,36128.0,45
2020-08-02,Maharashtra,70228,36233.0,45
2020-08-03,Maharashtra,70801,36632.0,45
2020-08-04,Maharashtra,71598,37139.0,45
2020-08-05,Maharashtra,unknown,37371.0,45
2020-08-06,Maharashtra,73363,37770.0,45
2020-08-07,Maharashtra,73367,37771.0,45
2020-08-08,Maharashtra,74010,37843.0,45
2020-08-09,Maharashtra,74426,38239.0,45
2020-08-10,Maharashtra,74945,38706.0,45
2020-08-11,Maharashtra,75254,,52
2020-08-12,Maharashtra,75667,39071.0,55
2020-08-13,Maharashtra,75728,39075.0,55
2020-08-14,Maharashtra,76471,39708.0,55
2020-08-15,Maharashtra,76574,39727.0,55
2020-08-16,Maharashtra,77174,40290.0,55
2020-08-17,Maharashtra,77899,40584.0,55
2020-08-18,Maharashtra,unknown,40618.0,58
2020-08-19,Maharashtra,78771,40877.0,58
2020-08-20,Maharashtra,79464,41306.0,58
2020-08-21,Maharashtra,79912,41705.0,58
2020-08-22,Maharashtra,80015,41745.0,58
2020-08-23,Maharashtra,80817,41926.0,58
2020-08-24,Maharashtra,81722,42742.0,58
2020-08-25,Maharashtra,81770,42758.0,58
2020-08-26,Maharashtra,82665,43073.0,58
2020-08-27,Maharashtra,83270,43585.0,58
2020-08-28,Maharashtra,83584,43700.0,58
2020-08-29,Maharashtra,84319,43746.0,58
2020-08-30,Maharashtra,85313,44496.0,58
2020-08-31,Maharashtra,85538,44715.0,58
2020-09-01,Maharashtra,86021,45046.0,58
2020-09-02,Maharashtra,86981,45550.0,58
2020-09-03,Maharashtra,87569,45725.0,58
2020-09-04,Maharashtra,87909,45882.0,58
2020-09-05,Maharashtra,88575,46061.0,58
2020-09-06,Maharashtra,88898,46279.0,58
2020-09-07,,89609,46551.0,58
2020-09-08,Maharashtra,90555,47209.0,58
2020-09-09,,90795,47271.0,58
2020-09-10,Maharashtra,91392,47451.0,58
2020-09-11,Maharashtra,91593,47489.0,58
2020-09-12,Maharashtra,92453,47913.0,58
2020-09-13,Maharashtra,92552,47956.0,58
2020-09-14,Maharashtra,93197,48153.0,58
2020-09-15,Maharashtra,93653,48457.0,58
2020-09-16,Maharashtra,94280,48839.0,58
2020-09-17,Maharashtra,94533,48913.0,58
2020-09-18,Maharashtra,94702,48953.0,58
2020-09-19,Maharashtra,94938,49143.0,58
2020-09-20,Maharashtra,95036,49208.0,58
2020-09-21,Maharashtra,95445,49211.0,58
2020-09-22,Maharashtra,96341,49669.0,58
2020-09-23,Maharashtra,96418,49683.0,58
2020-09-24,Maharashtra,unknown,49783.0,58
2020-09-25,Maharashtra,97655,50218.0,58
N/A,Maharashtra,98413,50344.0,58
2020-09-27,Maharashtra,98765,50583.0,58
2020-09-28,Maharashtra,99012,50605.0,58
2020-09-29,Maharashtra,99124,50648.0,58
2020-09-30,Maharashtra,100095,50691.0,58
2020-10-01,Maharashtra,100288,,58
2020-10-02,Maharashtra,100514,50792.0,58
2020-10-03,Maharashtra,100611,50870.0,58
2020-10-04,Maharashtra,101453,51321.0,58
2020-10-05,Maharashtra,101811,51329.0,58
2020-10-06,Maharashtra,102350,51766.0,58
2020-10-07,Maharashtra,103021,52428.0,58
2020-10-08,Maharashtra,103392,52640.0,58
2020-10-09,,104344,53520.0,58
2020-10-10,Maharashtra,104988,54048.0,58
2020-10-11,Maharashtra,105390,54248.0,58
2020-10-12,Maharashtra,105922,54696.0,58
2020-10-13,Maharashtra,106880,54759.0,58
2020-10-14,Maharashtra,106997,54833.0,58
2020-10-15,Maharashtra,107718,55415.0,58
2020-10-16,Maharashtra,108276,55514.0,58
2020-10-17,Maharashtra,108526,55583.0,58
2020-10-18,Maharashtra,109238,55793.0,58
2020-10-19,Maharashtra,110115,56157.0,58
2020-10-20,Maharashtra,110295,56208.0,58
2020-10-21,Maharashtra,110603,56318.0,58
2020-10-22,Maharashtra,111012,56592.0,58
2020-10-23,Maharashtra,unknown,56627.0,58
2020-10-24,Maharashtra,111617,57044.0,58
2020-10-25,Maharashtra,111745,57143.0,58
2020-10-26,Maharashtra,112329,57348.0,58
2020-10-27,Maharashtra,113090,57997.0,58
2020-10-28,Maharashtra,unknown,58705.0,58
2020-10-29,Maharashtra,114642,58810.0,58
2020-10-30,Maharashtra,115138,58924.0,58
2020-10-31,Maharashtra,115591,59031.0,58
2020-11-01,Maharashtra,116346,59378.0,58
2020-11-02,Maharashtra,116366,59382.0,58
2020-11-03,Maharashtra,117100,59875.0,58
2020-11-04,Maharashtra,118041,60737.0,58
2020-11-05,Maharashtra,118239,60799.0,58
2020-11-06,Maharashtra,118468,60993.0,58
N/A,Maharashtra,118718,61078.0,58
2020-11-08,Maharashtra,118936,61203.0,58
2020-11-09,Maharashtra,119787,61855.0,58
2020-11-10,Maharashtra,120432,62439.0,58
2020-11-11,Maharashtra,121358,63162.0,-1
2020-11-12,Maharashtra,121634,63358.0,58
2020-11-13,Maharashtra,121948,63634.0,58
2020-11-14,Maharashtra,122549,64182.0,58
2020-11-15,Maharashtra,122681,64298.0,58
2020-11-16,Maharashtra,123357,64818.0,58
2020-11-17,Maharashtra,123668,64875.0,58
2020-11-18,Maharashtra,123995,65059.0,58
2020-11-19,Maharashtra,124715,65363.0,58
N/A,Maharashtra,125376,65618.0,58
2020-11-21,Maharashtra,125507,65721.0,58
2020-11-22,Maharashtra,125968,66069.0,58
2020-11-23,Maharashtra,126081,66089.0,58
2020-11-24,Maharashtra,126341,66343.0,58
2020-11-25,Maharashtra,126910,66633.0,58
2020-11-26,Maharashtra,127168,66830.0,58
2020-11-27,Maharashtra,127210,66837.0,58
2020-11-28,Maharashtra,127741,66998.0,58
2020-11-29,Maharashtra,127768,67004.0,58
2020-11-30,Maharashtra,128737,67351.0,58
2020-12-01,Maharashtra,unknown,67351.0,58
2020-12-02,Maharashtra,129695,68291.0,67
2020-12-03,Maharashtra,130414,68556.0,67
2020-12-04,Maharashtra,130879,69014.0,67
2020-12-05,Maharashtra,130961,69026.0,67
2020-12-06,Maharashtra,131605,69246.0,67
2020-12-07,Maharashtra,131818,69437.0,67
2020-12-08,Maharashtra,132741,70043.0,67
2020-12-09,Maharashtra,132912,70049.0,67
2020-12-10,Maharashtra,133094,70186.0,67
2020-12-11,Maharashtra,133859,70446.0,67
2020-12-12,Maharashtra,134376,70639.0,67
2020-12-13,Maharashtra,134597,70760.0,67
2020-12-14,Maharashtra,135205,70955.0,72
2020-12-15,Maharashtra,unknown,71373.0,72
2020-12-16,,135900,71393.0,77
2020-12-17,Maharashtra,136482,71829.0,77
2020-12-18,Maharashtra,137320,72274.0,77
2020-12-19,Maharashtra,137358,72276.0,77
2020-12-20,Maharashtra,137707,72322.0,77
2020-12-21,Maharashtra,137777,72334.0,77
2020-12-22,Maharashtra,138614,72865.0,77
2020-12-23,Maharashtra,139533,73388.0,77
2020-12-24,Maharashtra,unknown,73967.0,77
2020-12-25,Maharashtra,141073,74536.0,77
2020-12-26,Maharashtra,141306,74601.0,77
2020-12-27,Maharashtra,142155,74715.0,77
2020-12-28,,142910,75208.0,77
2020-12-29,Maharashtra,143852,75849.0,77
2020-12-30,Maharashtra,144245,75918.0,-1
2020-12-31,Maharashtra,144833,76342.0,77
2021-01-01,Maharashtra,145185,76369.0,77
2021-01-02,Maharashtra,146080,76545.0,77
2021-01-03,Maharashtra,146701,76643.0,77
2021-01-04,Maharashtra,147104,76797.0,77
2021-01-05,Maharashtra,147440,77015.0,77
2021-01-06,Maharashtra,148347,77573.0,79
2021-01-07,Maharashtra,149213,77856.0,79
2021-01-08,Maharashtra,149421,77917.0,79
2021-01-09,Maharashtra,150237,78338.0,79
2021-01-10,Maharashtra,151199,78713.0,79
2021-01-11,Maharashtra,151458,78887.0,79
2021-01-12,Maharashtra,151651,78939.0,79
2021-01-13,Maharashtra,151771,78989.0,79
2021-01-14,Maharashtra,152683,79828.0,79
2021-01-15,,153638,80489.0,79
2021-01-16,Maharashtra,154397,80671.0,79
2021-01-17,Maharashtra,155318,81199.0,79
2021-01-18,Maharashtra,155354,81233.0,79
2021-01-19,Maharashtra,155406,81263.0,79
2021-01-20,Maharashtra,155999,81319.0,79
2021-01-21,Maharashtra,156062,81360.0,79
2021-01-22,Maharashtra,156128,81371.0,79
2021-01-23,Maharashtra,156246,81473.0,82
2021-01-24,Maharashtra,156650,81657.0,82
2021-01-25,Maharashtra,156723,81687.0,82
2021-01-26,Maharashtra,156875,81824.0,82
2021-01-27,,157855,82392.0,82
2021-01-28,Maharashtra,158169,82695.0,82
2021-01-29,Maharashtra,158180,82700.0,82
2021-01-30,Maharashtra,158903,82854.0,82
2021-01-31,Maharashtra,159256,83051.0,82
2021-02-01,Maharashtra,159690,83074.0,82
2021-02-02,Maharashtra,160090,83396.0,-1
2021-02-03,Maharashtra,160531,83588.0,82
2021-02-04,Maharashtra,161279,84008.0,82
2021-02-05,Maharashtra,162207,84851.0,82
2021-02-06,Maharashtra,163115,85619.0,82
2021-02-07,Maharashtra,163500,85709.0,82
2021-02-08,Maharashtra,163794,85723.0,82
2021-02-09,Maharashtra,164618,,82
2021-02-10,,165509,86464.0,82
2021-02-11,Maharashtra,166217,87137.0,82
2021-02-12,Maharashtra,166488,87220.0,82
2021-02-13,Maharashtra,167155,87792.0,82
2021-02-14,Maharashtra,167457,87946.0,82
2021-02-15,Maharashtra,167932,88341.0,82
2021-02-16,Maharashtra,168449,88575.0,82
2021-02-17,Maharashtra,169147,88923.0,82
2021-02-18,Maharashtra,170052,89186.0,82
2021-02-19,Maharashtra,170086,89188.0,82
2021-02-20,Maharashtra,170345,89259.0,82
2021-02-21,Maharashtra,170753,89385.0,82
2021-02-22,Maharashtra,171121,89558.0,82
2021-02-23,Maharashtra,171900,89707.0,82
2021-02-24,Maharashtra,172642,90173.0,82
2021-02-25,Maharashtra,173563,90707.0,82
2021-02-26,Maharashtra,174096,90891.0,82
2021-02-27,Maharashtra,174190,90904.0,82
2021-02-28,Maharashtra,174903,91115.0,82
2021-03-01,Maharashtra,175834,91643.0,82
2021-03-02,Maharashtra,176303,91826.0,82
2021-03-03,Maharashtra,176396,91896.0,82
2021-03-04,Maharashtra,177233,91962.0,82
N/A,Maharashtra,177749,92215.0,82
2021-03-06,Maharashtra,178738,92624.0,82
2021-03-07,Maharashtra,179115,92685.0,82
2021-03-08,Maharashtra,unknown,92809.0,82
2021-03-09,Maharashtra,180365,93033.0,82
2021-03-10,Maharashtra,180992,93061.0,82
2021-03-11,Maharashtra,180999,93068.0,82
2021-03-12,Maharashtra,181219,93092.0,82
2021-03-13,Maharashtra,181668,93098.0,82
2021-03-14,Maharashtra,181853,93100.0,82
2021-03-15,Maharashtra,182063,93272.0,82
2021-03-16,Maharashtra,182063,93272.0,82
2021-03-17,Maharashtra,182573,93537.0,89
2021-03-18,Maharashtra,183252,94118.0,89
2021-03-19,Maharashtra,183625,94144.0,89
2021-03-20,Maharashtra,184619,94711.0,89
2021-03-21,Maharashtra,184839,94912.0,89
2021-03-22,Maharashtra,185374,95085.0,89
2021-03-23,Maharashtra,185803,95406.0,89
2021-03-24,Maharashtra,186312,95495.0,89
2021-03-25,Maharashtra,187017,95779.0,89
2021-03-26,Maharashtra,187866,96234.0,89
2021-03-27,Maharashtra,188120,96279.0,89
2021-03-28,Maharashtra,188155,96297.0,89
2021-03-29,Maharashtra,188497,96561.0,89
2021-03-30,Maharashtra,189152,96688.0,89
2021-03-31,Maharashtra,189576,96861.0,89
2021-04-01,Maharashtra,189653,96865.0,89
2021-04-02,Maharashtra,190348,96951.0,89
2021-04-03,Maharashtra,190612,97070.0,89
2021-04-04,Maharashtra,190923,97186.0,89
2021-04-05,Maharashtra,191842,97369.0,89
2021-04-06,Maharashtra,192274,97462.0,89
2021-04-07,Maharashtra,192739,97624.0,89
2021-04-08,Maharashtra,193640,98066.0,89
2021-04-09,Maharashtra,194195,98185.0,89
2021-04-10,Maharashtra,195036,98468.0,89
2021-04-11,Maharashtra,195878,98515.0,89
2021-04-12,Maharashtra,195935,98569.0,89
2021-04-13,Maharashtra,196089,98714.0,89
2021-04-14,Maharashtra,196109,98718.0,89
2021-04-15,Maharashtra,196746,99085.0,89
2021-04-16,Maharashtra,196748,99087.0,89
2021-04-17,Maharashtra,197479,99364.0,89
2021-04-18,Maharashtra,198323,99880.0,89
2021-04-19,Maharashtra,199057,100363.0,89
2021-04-20,Maharashtra,199933,101143.0,94
2021-04-21,Maharashtra,200591,101200.0,94
2021-04-22,,200736,101274.0,94
2021-04-23,Maharashtra,201696,101486.0,94
2021-04-24,Maharashtra,201896,101624.0,94
2021-04-25,Maharashtra,202698,102002.0,94
2021-04-26,Maharashtra,202931,102220.0,94
2021-04-27,Maharashtra,203170,102225.0,94
2021-04-28,Maharashtra,203190,102240.0,94
2021-04-29,Maharashtra,203561,102462.0,94
2021-04-30,Maharashtra,203583,102472.0,94
2021-05-01,Maharashtra,204196,102926.0,94
2021-05-02,Maharashtra,204351,103022.0,94
2021-05-03,Maharashtra,unknown,103244.0,94
2021-05-04,Maharashtra,205087,103660.0,94
2021-05-05,Maharashtra,205309,103787.0,94
2021-05-06,Maharashtra,206071,103801.0,94
2021-05-07,Maharashtra,206431,103977.0,94
2021-05-08,Maharashtra,206785,104190.0,94
2021-05-09,Maharashtra,207137,104254.0,94
2021-05-10,Maharashtra,208056,104912.0,94
2021-05-11,Maharashtra,208371,105047.0,94
2021-05-12,Maharashtra,208769,105241.0,94
2021-05-13,Maharashtra,208814,105273.0,94
2021-05-14,Maharashtra,209744,106118.0,94
2021-05-15,Maharashtra,209810,106119.0,94
2021-05-16,Maharashtra,210307,106606.0,94
2021-05-17,Maharashtra,210955,106629.0,94
2021-05-18,Maharashtra,211628,107013.0,94
2021-05-19,Maharashtra,212169,107172.0,94
2021-05-20,Maharashtra,212898,107610.0,94
2021-05-21,Maharashtra,213807,108404.0,94
2021-05-22,Maharashtra,214798,108823.0,102
2021-05-23,Maharashtra,214911,108836.0,102
2021-05-24,Maharashtra,215328,109149.0,102
2021-05-25,Maharashtra,216147,109636.0,102
2021-05-26,Maharashtra,216927,109808.0,102
2021-05-27,Maharashtra,216945,109820.0,102
2021-05-28,Maharashtra,217836,110310.0,102
2021-05-29,Maharashtra,218258,110408.0,102
2021-05-30,Maharashtra,218352,110429.0,102
2021-05-31,Maharashtra,219134,110669.0,102
2021-06-01,Maharashtra,219900,110798.0,102
2021-06-02,Maharashtra,220775,111559.0,102
2021-06-03,Maharashtra,221715,111563.0,102
2021-06-04,Maharashtra,221904,111670.0,102
2021-06-05,Maharashtra,222892,112208.0,102
2021-06-06,Maharashtra,223704,112707.0,102
2021-06-07,Maharashtra,224095,113086.0,102
2021-06-08,Maharashtra,224287,113104.0,102
2021-06-09,Maharashtra,225122,113671.0,102
2021-06-10,Maharashtra,225325,113815.0,102
2021-06-11,Maharashtra,226052,114454.0,102
2021-06-12,Maharashtra,226131,114500.0,102
2021-06-13,Maharashtra,227109,114522.0,110
2021-06-14,Maharashtra,227268,114632.0,110
2021-06-15,Maharashtra,227919,115011.0,110
2021-06-16,Maharashtra,228751,115775.0,110
2021-06-17,Maharashtra,229620,115867.0,110
2021-06-18,Maharashtra,230563,116677.0,110
2021-06-19,Maharashtra,231424,116906.0,110
2021-06-20,Maharashtra,231713,117075.0,110
2021-06-21,Maharashtra,232682,117195.0,110
2021-06-22,Maharashtra,233425,117636.0,110
2021-06-23,Maharashtra,233786,117858.0,110
2021-06-24,Maharashtra,233956,117984.0,110
2021-06-25,Maharashtra,234336,117992.0,110
2021-06-26,Maharashtra,234567,118150.0,110
2021-06-27,Maharashtra,235298,118797.0,114
2021-06-28,Maharashtra,235375,118851.0,114
2021-06-29,Maharashtra,235542,118999.0,114
2021-06-30,Maharashtra,236221,119019.0,114
2020-03-01,Kerala,293,89.0,7
2020-03-02,Kerala,792,258.0,-1
2020-03-03,Kerala,1113,,7
2020-03-04,,1312,567.0,-1
2020-03-05,Kerala,2039,830.0,7
2020-03-06,Kerala,unknown,1130.0,7
2020-03-07,Kerala,2667,1251.0,7
2020-03-08,Kerala,2817,1329.0,7
2020-03-09,Kerala,2977,1463.0,7
2020-03-10,Kerala,3837,2059.0,11
2020-03-11,Kerala,4164,2236.0,13
2020-03-12,Kerala,4501,2385.0,13
2020-03-13,Kerala,4871,2403.0,13
2020-03-14,Kerala,5550,2898.0,13
2020-03-15,Kerala,6407,3025.0,13
2020-03-16,Kerala,6704,3102.0,13
2020-03-17,Kerala,7066,3408.0,13
2020-03-18,Kerala,8060,3693.0,13
2020-03-19,Kerala,8328,3808.0,13
2020-03-20,Kerala,unknown,4154.0,13
2020-03-21,Kerala,9151,4239.0,13
2020-03-22,Kerala,10018,5066.0,13
2020-03-23,Kerala,10555,5524.0,13
2020-03-24,Kerala,11125,5681.0,13
2020-03-25,Kerala,11833,6006.0,13
2020-03-26,Kerala,12220,6259.0,13
2020-03-27,Kerala,13140,6811.0,13
2020-03-28,Kerala,13337,6824.0,13
2020-03-29,Kerala,14065,7088.0,13
2020-03-30,Kerala,14931,7499.0,13
2020-03-31,Kerala,15133,,13
2020-04-01,Kerala,16129,8072.0,13
2020-04-02,Kerala,16894,8381.0,13
2020-04-03,Kerala,17248,8450.0,13
2020-04-04,Kerala,17487,8568.0,13
2020-04-05,Kerala,17571,,17
2020-04-06,Kerala,17604,8654.0,17
2020-04-07,Kerala,17628,8663.0,17
2020-04-08,Kerala,unknown,8961.0,17
2020-04-09,Kerala,19066,9219.0,17
2020-04-10,Kerala,19069,9219.0,17
2020-04-11,Kerala,20050,,19
2020-04-12,Kerala,20790,9403.0,19
2020-04-13,Kerala,21075,9587.0,19
2020-04-14,Kerala,21226,9591.0,19
2020-04-15,Kerala,21336,9642.0,19
2020-04-16,Kerala,22321,10414.0,19
2020-04-17,Kerala,22418,10510.0,19
2020-04-18,Kerala,22672,10511.0,19
2020-04-19,Kerala,22739,10564.0,19
2020-04-20,Kerala,22920,10577.0,19
2020-04-21,Kerala,23466,10934.0,19
2020-04-22,Kerala,24303,11084.0,19
2020-04-23,Kerala,25105,11644.0,19
2020-04-24,Kerala,25560,11657.0,19
2020-04-25,Kerala,26132,12156.0,19
2020-04-26,Kerala,26951,12932.0,19
2020-04-27,Kerala,27924,13568.0,19
2020-04-28,Kerala,28137,13657.0,19
2020-04-29,Kerala,28920,13873.0,19
2020-04-30,Kerala,29301,14151.0,19
2020-05-01,Kerala,30122,14690.0,19
2020-05-02,Kerala,30522,14985.0,19
2020-05-03,Kerala,30754,15212.0,19
2020-05-04,Kerala,31006,15361.0,19
2020-05-05,Kerala,31384,15483.0,19
2020-05-06,Kerala,32028,15645.0,19
2020-05-07,Kerala,32092,15667.0,19
2020-05-08,Kerala,32737,16094.0,19
2020-05-09,Kerala,33525,16648.0,19
2020-05-10,Kerala,33986,16908.0,19
2020-05-11,Kerala,34595,17201.0,19
2020-05-12,Kerala,35568,17810.0,19
2020-05-13,Kerala,36551,17888.0,19
2020-05-14,Kerala,37338,18329.0,19
2020-05-15,Kerala,38324,19151.0,19
2020-05-16,Kerala,38930,19320.0,19
2020-05-17,Kerala,39552,19835.0,19
2020-05-18,Kerala,40291,20321.0,19
2020-05-19,Kerala,40488,20376.0,19
2020-05-20,Kerala,41412,20424.0,19
2020-05-21,Kerala,42245,20604.0,19
2020-05-22,Kerala,42326,20605.0,19
2020-05-23,Kerala,43120,21286.0,19
2020-05-24,Kerala,43802,21940.0,19
2020-05-25,Kerala,44659,22713.0,19
2020-05-26,Kerala,45292,22714.0,19
2020-05-27,Kerala,45750,23111.0,19
2020-05-28,Kerala,46313,23399.0,19
2020-05-29,Kerala,46729,23631.0,19
2020-05-30,Kerala,47007,23863.0,19
N/A,Kerala,47120,23896.0,19
2020-06-01,Kerala,47649,24268.0,19
2020-06-02,Kerala,48357,24517.0,19
2020-06-03,Kerala,49157,24914.0,19
2020-06-04,Kerala,50034,25767.0,19
2020-06-05,Kerala,50120,25796.0,19
2020-06-06,Kerala,50344,25858.0,19
2020-06-07,Kerala,50880,25953.0,19
2020-06-08,Kerala,51338,26391.0,27
2020-06-09,Kerala,52119,26654.0,27
2020-06-10,Kerala,52890,27146.0,27
2020-06-11,Kerala,53859,27646.0,27
2020-06-12,Kerala,54404,27684.0,27
2020-06-13,Kerala,54844,27977.0,27
2020-06-14,Kerala,55366,28420.0,27
2020-06-15,Kerala,56238,29236.0,27
2020-06-16,Kerala,56257,29249.0,27
